id_produk,nama_item,harga_satuan,stok_gudang,kategori_produk,tanggal_input
PRD-0400,Yoyo Plus,691000,111,Mainan,2022-12-10
PRD-0401,Majalah Ultra,319000,446,Buku,2022-08-25
PRD-0402,Ikat Pinggang Lite,1504000,8,Fashion,2021-03-04
PRD-0403,Sabun Muka Elite,391000,325,Kecantikan,2022-09-12
PRD-0404,Headphone Go,9925000,346,Elektronik,2022-07-14
PRD-0405,Bantal Plus,502000,27,Rumah & Dapur,2022-02-06
PRD-0406,Tas Olahraga Elite,708000,449,Olahraga,2023-03-06
PRD-0407,Kaca Spion Max,1456000,435,Otomotif,2021-11-30
PRD-0408,Tablet Lite,4368000,291,Elektronik,2022-12-14
PRD-0409,Monopoly Pro,147000,481,Mainan,2023-03-23
PRD-0410,Kurma Mini,583000,356,Makanan & Minuman,2021-04-28
PRD-0411,Sprayer Ultra,671000,305,Pertanian,2022-08-29
PRD-0412,Power Bank Pro,2811000,191,Elektronik,2021-11-06
PRD-0413,Sepatu Lari V2,3144000,36,Olahraga,2021-04-14
PRD-0414,Kipas Angin X,1582000,361,Rumah & Dapur,2021-10-08
PRD-0415,Majalah Neo,237000,471,Buku,2021-10-14
PRD-0416,Rantai Motor Series 5,2094000,482,Otomotif,2021-01-15
PRD-0417,Selimut Elite,1741000,155,Rumah & Dapur,2022-12-25
PRD-0418,Sunscreen Prime,596000,346,Kecantikan,2021-06-26
PRD-0419,Pot Tanaman Prime,418000,96,Pertanian,2021-04-28
PRD-0420,Rak Prime,2205000,211,Rumah & Dapur,2022-06-15
PRD-0421,Protein Bar Plus,267000,179,Makanan & Minuman,2022-02-16
PRD-0422,Smartphone Lite,4033000,381,Elektronik,2023-05-09
PRD-0423,Buku Motivasi Prime,525000,473,Buku,2022-06-04
PRD-0424,Lego Neo,1104000,405,Mainan,2021-11-11
PRD-0425,Jurnal Mini,76000,58,Buku,2022-11-01
PRD-0426,Blender Neo,1348000,4,Rumah & Dapur,2021-11-21
PRD-0427,Buku Teknik Prime,229000,233,Buku,2021-08-10
PRD-0428,SSD X,12452000,93,Elektronik,2022-03-16
PRD-0429,Kemeja HD,434000,248,Fashion,2021-12-21
PRD-0430,Majalah Prime,408000,256,Buku,2022-03-03
PRD-0431,Jurnal Elite,172000,405,Buku,2021-01-24
PRD-0432,Barbel X,2175000,49,Olahraga,2022-08-22
PRD-0433,Majalah Lite,57000,281,Buku,2023-04-21
PRD-0434,Atlas Max,119000,235,Buku,2023-05-19
PRD-0435,Ensiklopedia Go,182000,56,Buku,2021-08-23
PRD-0436,Gunting Tanaman Go,91000,432,Pertanian,2022-01-20
PRD-0437,Buku Motivasi Ultra,399000,232,Buku,2021-04-25
PRD-0438,Dress Elite,723000,165,Fashion,2021-01-24
PRD-0439,Wiper Ultra,975000,373,Otomotif,2022-12-03
PRD-0440,Origami Kit Max,930000,214,Mainan,2022-01-28
PRD-0441,Sandal Mini,1146000,35,Fashion,2021-05-16
PRD-0442,Celana Series 5,1421000,306,Fashion,2021-05-25
PRD-0443,Toner Ultra,651000,494,Kecantikan,2023-02-16
PRD-0444,Nail Polish HD,87000,175,Kecantikan,2021-03-20
PRD-0445,Selimut Max,1027000,6,Rumah & Dapur,2021-02-12
PRD-0446,Barbel One,3450000,84,Olahraga,2022-03-10
PRD-0447,Pelumas Rantai One,806000,154,Otomotif,2022-12-17
PRD-0448,Tas Olahraga Plus,517000,414,Olahraga,2021-04-12
PRD-0449,Buku Sejarah Go,492000,445,Buku,2023-01-17
PRD-0450,Jus Buah Series 5,341000,8,Makanan & Minuman,2022-10-19
PRD-0451,Origami Kit Prime,81000,154,Mainan,2023-04-26
PRD-0452,Toner Pro,804000,219,Kecantikan,2022-04-16
PRD-0453,Buku Teknik Prime,374000,7,Buku,2021-07-10
PRD-0454,Stopwatch Ultra,3356000,200,Olahraga,2021-05-19
PRD-0455,Atlas X,528000,32,Buku,2021-11-19
PRD-0456,Rubik HD,926000,426,Mainan,2021-06-24
PRD-0457,Sabit Ultra,500000,95,Pertanian,2023-01-09
PRD-0458,Tablet Pro,11149000,382,Elektronik,2022-08-04
PRD-0459,Nail Polish Mini,270000,206,Kecantikan,2021-04-24
PRD-0460,Dumbbell Ultra,2244000,34,Olahraga,2021-02-09
PRD-0461,Stopwatch Elite,2278000,500,Olahraga,2022-10-02
PRD-0462,Barbel Plus,3750000,297,Olahraga,2022-09-18
PRD-0463,Raket Prime,4524000,5,Olahraga,2023-06-14
PRD-0464,Kipas Angin Series 5,2756000,25,Rumah & Dapur,2023-05-26
PRD-0465,Eyeliner Elite,137000,127,Kecantikan,2021-02-25
PRD-0466,Oli Mesin Neo,775000,301,Otomotif,2022-12-05
PRD-0467,Baju Olahraga V2,4563000,47,Olahraga,2021-02-23
PRD-0468,Syal Ultra,695000,423,Fashion,2022-07-24
PRD-0469,Vacuum Cleaner Series 5,935000,151,Rumah & Dapur,2022-12-07
PRD-0470,Setrika Series 5,2466000,49,Rumah & Dapur,2021-09-26
PRD-0471,Pelumas Rantai One,152000,99,Otomotif,2023-04-05
PRD-0472,Sekop Pro,559000,497,Pertanian,2021-05-31
PRD-0473,Topi Mini,1459000,22,Fashion,2022-11-17
PRD-0474,Buku Resep Prime,64000,274,Buku,2021-04-29
PRD-0475,Parfum Prime,50000,245,Kecantikan,2021-03-27
PRD-0476,Dumbbell Mini,483000,236,Olahraga,2021-04-17
PRD-0477,Ban Dalam Mini,929000,430,Otomotif,2021-12-22
PRD-0478,Komik Neo,45000,151,Buku,2022-06-17
PRD-0479,Komik Series 5,529000,495,Buku,2023-05-27
PRD-0480,Minyak Zaitun Neo,45000,331,Makanan & Minuman,2023-04-15
PRD-0481,Kacamata Mini,764000,285,Fashion,2021-07-29
PRD-0482,Kamus Prime,477000,442,Buku,2023-01-01
PRD-0483,Buku Resep Pro,414000,46,Buku,2021-12-09
PRD-0484,Kipas Angin Neo,1579000,338,Rumah & Dapur,2022-07-04
PRD-0485,Parfum Lite,695000,296,Kecantikan,2022-09-01
PRD-0486,Tablet Max,1180000,333,Elektronik,2021-07-19
PRD-0487,Protein Bar X,370000,120,Makanan & Minuman,2022-07-29
PRD-0488,Kacang Mede Plus,217000,203,Makanan & Minuman,2023-06-04
PRD-0489,Helm Full Face Neo,1390000,146,Otomotif,2022-05-22
PRD-0490,Sarung Tinju Go,4557000,173,Olahraga,2022-11-25
PRD-0491,Treadmill Max,1913000,129,Olahraga,2023-04-02
PRD-0492,Suplemen Vitamin Prime,67000,250,Makanan & Minuman,2021-10-06
PRD-0493,Origami Kit Go,47000,390,Mainan,2021-05-10
PRD-0494,Ban Dalam Prime,2293000,119,Otomotif,2022-11-30
PRD-0495,Parfum Mobil Mini,1067000,187,Otomotif,2022-02-19
PRD-0496,Slime Kit Lite,761000,485,Mainan,2021-05-21
PRD-0497,Buku Agama Elite,423000,280,Buku,2022-04-24
PRD-0498,Kacang Mede Series 5,177000,230,Makanan & Minuman,2023-06-09
PRD-0499,Rok Elite,1191000,227,Fashion,2021-10-31
PRD-0500,Kacamata Pro,890000,307,Fashion,2022-02-20
